frame,id,x1,y1,x2,y2,class,conf
22,7,954,91,977,136,player,0.9036787152290344
22,8,1132,140,1169,192,player,0.9098988771438599
22,9,612,161,638,223,player,0.9051262736320496
22,10,917,202,945,275,player,0.8690810203552246
22,13,614,406,649,506,player,0.8888124823570251
22,14,804,102,823,156,player,0.8603472113609314
22,17,554,416,604,492,player,0.8956329822540283
23,1,918,435,977,528,player,0.9289610981941223
23,2,688,163,711,233,player,0.8846551775932312
23,3,1057,192,1083,258,player,0.9128738641738892
23,4,506,458,564,524,player,0.9019097685813904
23,5,321,269,353,351,player,0.8923773765563965
23,6,1147,355,1216,448,player,0.938206672668457
23,7,964,92,984,137,player,0.8967228531837463
23,8,1144,140,1178,193,player,0.9142980575561523
23,9,618,162,648,224,player,0.9209949374198914
23,10,923,203,953,276,player,0.8696451187133789
23,13,617,405,659,509,player,0.9237711429595947
23,14,813,102,832,156,player,0.8869485855102539
23,17,560,415,605,490,player,0.9101506471633911
23,59,882,232,919,306,player,0.6972594857215881
24,1,914,433,977,525,player,0.9257017970085144
24,2,694,163,719,233,player,0.8965614438056946
24,3,1061,193,1090,258,player,0.9154738783836365
24,4,510,460,557,523,player,0.8139364123344421
24,5,324,269,353,351,player,0.89012211561203
24,6,1147,357,1215,448,player,0.9255844354629517
24,7,971,92,989,138,player,0.8820428848266602
24,8,1154,140,1184,194,player,0.8996081948280334
24,9,623,162,656,224,player,0.9149249196052551
24,10,927,204,958,277,player,0.8814390897750854
24,13,619,405,663,509,player,0.8968883752822876
24,14,818,101,839,157,player,0.8531116247177124
24,17,564,413,609,488,player,0.9285510182380676
24,16,891,232,926,306,player,0.7553552985191345
25,1,907,431,973,522,player,0.9195375442504883
25,2,696,164,725,234,player,0.8890706300735474
25,3,1061,194,1094,259,player,0.9141630530357361
25,4,509,461,561,523,player,0.8957294821739197
25,5,323,269,353,351,player,0.903761625289917
25,6,1149,359,1211,450,player,0.9255788326263428
25,7,975,93,992,139,player,0.8869047164916992
25,8,1160,139,1188,195,player,0.9004083275794983
25,9,627,163,661,225,player,0.9073769450187683
25,10,929,206,959,277,player,0.8795598149299622
25,13,617,403,665,508,player,0.9103521108627319
25,14,820,102,844,157,player,0.8948361873626709
25,17,563,412,610,488,player,0.9285798072814941
25,16,897,233,930,306,player,0.6532357931137085
26,1,903,430,962,521,player,0.9080733060836792
26,2,695,163,728,234,player,0.9021138548851013
26,3,1061,196,1095,257,player,0.904688835144043
26,4,506,462,553,523,player,0.890622079372406
26,5,319,268,352,352,player,0.9066866040229797
26,6,1154,360,1198,439,player,0.8132284879684448
26,7,977,92,993,139,player,0.8769972920417786
26,8,1162,139,1192,195,player,0.9038470387458801
26,9,630,163,663,225,player,0.8943710923194885
26,10,929,208,957,277,player,0.8712626099586487
26,13,613,403,667,507,player,0.9352994561195374
26,14,821,103,848,158,player,0.8726790547370911
26,17,556,412,607,487,player,0.9212873578071594
27,1,897,431,944,520,player,0.9000638723373413
27,2,696,164,729,235,player,0.8983185291290283
27,3,1061,197,1093,256,player,0.8835819959640503
27,4,504,460,551,523,player,0.8909007906913757
27,5,311,268,350,352,player,0.9161857962608337
27,6,1150,360,1189,446,player,0.9072937965393066
27,7,978,92,994,138,player,0.800927460193634
27,8,1164,138,1195,195,player,0.9017672538757324
27,9,632,163,663,224,player,0.8890495896339417
27,13,606,404,666,506,player,0.9318495988845825
27,14,821,103,850,158,player,0.7086599469184875
27,17,551,412,604,488,player,0.9208876490592957
27,61,929,209,952,275,player,0.8765835165977478
28,1,885,431,929,520,player,0.9171948432922363
28,2,695,164,730,235,player,0.899691641330719
28,3,1059,199,1089,258,player,0.8943114876747131
28,4,496,459,544,523,player,0.858900249004364
28,5,304,268,347,352,player,0.9193533062934875
28,6,1142,359,1181,449,player,0.9095314145088196
28,7,975,92,993,140,player,0.8819738030433655
28,8,1166,137,1196,196,player,0.8979723453521729
28,9,633,163,660,224,player,0.8782975077629089
28,13,602,406,657,501,player,0.8931103944778442
28,14,821,105,850,158,player,0.8948071002960205
28,17,548,414,603,488,player,0.9126937985420227
28,10,926,209,946,275,player,0.8652474880218506
29,1,868,430,926,519,player,0.9285393953323364
29,2,696,164,729,235,player,0.8910408616065979
29,3,1058,200,1084,259,player,0.8905874490737915
29,4,484,455,541,523,player,0.9102670550346375
29,5,300,269,343,353,player,0.9247288107872009
29,6,1127,359,1174,449,player,0.9331663846969604
29,7,973,93,991,140,player,0.8933113217353821
29,8,1169,137,1200,196,player,0.8834121823310852
29,9,634,162,656,223,player,0.8368880152702332
29,13,594,409,646,501,player,0.8937563896179199
29,14,821,105,850,158,player,0.8978207111358643
29,17,545,415,602,487,player,0.9010164141654968
29,10,922,209,943,275,player,0.8594647645950317
30,2,695,165,726,234,player,0.8694709539413452
30,3,1055,199,1079,260,player,0.9006197452545166
30,4,478,451,536,525,player,0.8899743556976318
30,5,299,270,336,353,player,0.9076976180076599
30,6,1111,358,1166,449,player,0.9135610461235046
30,7,971,94,989,140,player,0.8842534422874451
30,8,1170,138,1202,197,player,0.8830292224884033
30,9,633,162,652,223,player,0.8682575821876526
30,13,588,411,638,504,player,0.9106737971305847
30,14,820,106,848,158,player,0.8970832824707031
30,17,544,416,599,486,player,0.905867338180542
30,16,918,209,942,275,player,0.8637027740478516
31,1,836,430,891,516,player,0.8047469854354858
31,2,696,164,723,233,player,0.8938581943511963
31,3,1053,198,1075,260,player,0.8952385187149048
31,4,475,448,531,526,player,0.9118409156799316
31,5,298,270,329,354,player,0.9029248356819153
31,6,1099,360,1159,448,player,0.9302088022232056
31,7,970,95,988,141,player,0.8895928859710693
31,8,1170,138,1202,197,player,0.8778116703033447
31,9,632,162,648,224,player,0.6236557960510254
31,13,583,413,637,503,player,0.6721147894859314
31,14,820,106,846,158,player,0.885822594165802
31,17,544,414,596,487,player,0.8968376517295837
31,67,835,427,886,490,player,0.8428219556808472
31,16,913,208,940,275,player,0.7940388917922974
32,54,819,427,872,512,player,0.8635454177856445
32,2,695,163,718,233,player,0.8940057754516602
32,3,1049,198,1072,261,player,0.8769938945770264
32,4,475,444,526,526,player,0.9059466123580933
32,5,295,271,323,353,player,0.909773051738739
32,6,1088,362,1150,448,player,0.8988404273986816
32,7,968,95,986,141,player,0.8936862945556641
32,8,1169,140,1201,198,player,0.878993809223175
32,9,629,162,646,224,player,0.8563392758369446
32,14,819,105,844,158,player,0.8799118399620056
32,17,545,412,592,488,player,0.8688562512397766
32,1,836,426,873,490,player,0.41447269916534424
32,10,907,208,930,250,player,0.6746637225151062
33,2,694,163,713,233,player,0.858864963054657
33,3,1043,197,1070,262,player,0.892254650592804
33,4,475,442,520,526,player,0.9093623161315918
33,5,290,270,317,354,player,0.8894234299659729
33,6,1083,364,1141,448,player,0.9217227697372437
33,7,966,95,984,140,player,0.9003438353538513
33,8,1169,140,1201,198,player,0.8840008974075317
33,9,622,162,644,224,player,0.8790868520736694
33,14,819,105,840,157,player,0.8806448578834534
33,17,546,409,599,492,player,0.8716359734535217
33,1,829,425,855,489,player,0.7520616054534912
33,10,901,209,923,253,player,0.768901526927948
34,2,691,163,709,232,player,0.8763048052787781
34,3,1038,197,1066,263,player,0.8948689699172974
34,4,470,439,515,526,player,0.9076820015907288
34,5,283,270,313,356,player,0.8974470496177673
34,6,1082,364,1133,448,player,0.9163339734077454
34,7,963,96,982,141,player,0.907941460609436
34,8,1168,141,1201,198,player,0.8804470300674438
34,9,618,162,642,225,player,0.886094868183136
34,14,818,104,838,157,player,0.8545617461204529
34,10,894,210,918,271,player,0.8255412578582764
34,74,811,434,834,520,player,0.7121083736419678
34,75,573,432,603,506,player,0.5903788208961487
34,13,549,406,606,501,player,0.9104536771774292
34,54,807,423,856,518,player,0.8174540400505066
35,2,686,163,707,232,player,0.8670708537101746
35,3,1036,199,1063,264,player,0.9151732325553894
35,4,464,435,510,526,player,0.924100399017334
35,5,278,271,309,357,player,0.8994920253753662
35,6,1082,363,1126,448,player,0.9009614586830139
35,7,961,95,980,142,player,0.8979756236076355
35,8,1167,141,1200,198,player,0.8831030130386353
35,9,615,163,641,225,player,0.8936322331428528
35,14,815,103,836,158,player,0.8674185872077942
35,10,888,211,912,279,player,0.8453636169433594
35,13,575,413,606,499,player,0.5248618721961975
35,13,539,407,595,504,player,0.9124906063079834
35,54,799,420,839,518,player,0.9035511016845703
36,2,682,163,706,233,player,0.8710295557975769
36,3,1033,199,1060,265,player,0.8982692956924438
36,4,459,433,508,525,player,0.9356180429458618
36,5,268,272,305,357,player,0.9089338779449463
36,6,1081,361,1122,449,player,0.8856937885284424
36,7,960,95,979,142,player,0.8936763405799866
36,8,1168,141,1200,198,player,0.886211633682251
36,9,612,163,641,225,player,0.8967605233192444
36,14,811,103,834,158,player,0.8706851005554199
36,10,883,211,908,280,player,0.8673830628395081
36,13,578,404,609,491,player,0.7996657490730286
36,13,529,408,588,504,player,0.8973379135131836
36,54,790,417,830,514,player,0.8956848382949829
37,2,678,163,706,233,player,0.9039680361747742
37,3,1030,201,1058,264,player,0.9039053916931152
37,4,457,430,506,526,player,0.9151647686958313
37,5,258,274,301,357,player,0.906294047832489
37,6,1080,359,1117,433,player,0.8370028138160706
37,7,959,94,978,142,player,0.897432804107666
37,8,1169,141,1201,198,player,0.8740730881690979
37,9,609,164,641,225,player,0.9023916125297546
37,14,808,103,833,159,player,0.8689466118812561
37,10,879,210,905,281,player,0.8847019672393799
37,13,579,402,612,486,player,0.889004647731781
37,13,520,408,584,505,player,0.9074491858482361
37,54,778,415,819,510,player,0.9050005674362183
38,2,674,164,706,233,player,0.9105460047721863
38,3,1027,201,1055,264,player,0.898179829120636
38,4,454,428,504,528,player,0.934128999710083
38,5,250,275,297,357,player,0.9108363389968872
38,6,1080,358,1113,426,player,0.711868166923523
38,7,958,94,977,142,player,0.8979045748710632
38,8,1171,140,1202,198,player,0.8802359104156494
38,9,608,164,639,226,player,0.9074698090553284
38,14,806,104,832,159,player,0.863143801689148
38,10,875,210,901,280,player,0.8965610265731812
38,13,582,404,614,485,player,0.902110755443573
38,13,518,408,581,504,player,0.9236114621162415
38,54,765,415,807,509,player,0.888161838054657
38,79,1068,388,1099,448,player,0.8682117462158203
38,80,1267,298,1279,370,player,0.812460720539093
39,2,672,165,706,234,player,0.917103111743927
39,3,1025,201,1053,265,player,0.906593382358551
39,4,451,428,501,531,player,0.9322739243507385
39,5,245,276,294,358,player,0.9290224313735962
39,6,1062,357,1109,441,player,0.8728734254837036
39,7,958,94,976,143,player,0.9041303992271423
39,8,1173,140,1202,199,player,0.8746687769889832
39,9,607,164,637,226,player,0.8959164023399353
39,14,805,104,831,159,player,0.8736498951911926
39,10,871,210,898,281,player,0.9062038660049438
39,13,584,406,618,486,player,0.9111892580986023
39,13,517,408,579,505,player,0.9295498132705688
39,54,756,415,795,487,player,0.7140942811965942
39,80,1266,288,1279,369,player,0.852601945400238
40,2,670,165,705,234,player,0.919808566570282
40,3,1025,201,1051,266,player,0.8994472026824951
40,4,450,428,499,534,player,0.9307824373245239
40,5,242,277,292,358,player,0.9287281632423401
40,6,1060,357,1104,435,player,0.8020511269569397
40,7,957,95,975,143,player,0.9006281495094299
40,8,1174,140,1203,199,player,0.8705835342407227
40,9,605,165,635,227,player,0.8837742209434509
40,14,803,105,830,159,player,0.8639634251594543
40,10,866,210,895,282,player,0.8718273043632507
40,13,585,408,621,487,player,0.899303138256073
40,13,517,407,573,505,player,0.918006956577301
40,54,748,416,781,483,player,0.6337448358535767
40,79,1053,377,1095,449,player,0.8064387440681458
40,80,1262,283,1279,368,player,0.8469460010528564
40,85,734,445,778,509,player,0.8444883227348328
41,2,669,166,704,235,player,0.9195076823234558
41,3,1022,201,1049,267,player,0.9072800874710083
41,4,448,429,496,535,player,0.929577648639679
41,5,242,277,289,359,player,0.9225254654884338
41,6,1061,358,1099,433,player,0.8268893361091614
41,7,955,95,974,144,player,0.9019322991371155
41,8,1176,140,1203,199,player,0.8694850206375122
41,9,605,165,631,227,player,0.8823256492614746
41,14,802,105,829,160,player,0.8754380941390991
41,13,585,409,626,488,player,0.8981251120567322
41,13,516,404,565,505,player,0.9316230416297913
41,54,741,418,769,480,player,0.7856714129447937
41,79,1046,390,1081,449,player,0.6906663179397583
41,80,1256,281,1279,368,player,0.8733102679252625
41,85,722,456,765,507,player,0.8175044059753418
41,16,861,211,891,283,player,0.8867729902267456
42,2,667,166,703,235,player,0.9149892926216125
42,3,1019,201,1047,267,player,0.9124891757965088
42,4,443,430,494,535,player,0.9264864921569824
42,5,241,276,286,359,player,0.9214791655540466
